Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,District,FBI Code
JK288266,06/09/2026 12:00:00 AM,012XX W WASHINGTON BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,012,14
JK287963,06/09/2026 12:00:00 AM,096XX S UNIVERSITY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,005,08B
JK292451,06/09/2026 12:00:00 AM,002XX E 29TH ST,0820,THEFT,$500 AND UNDER,STREET,False,False,001,06
JK288096,06/09/2026 12:00:00 AM,068XX S JEFFERY BLVD,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,STREET,False,True,003,02
JK287514,06/09/2026 12:00:00 AM,038XX N MOZART ST,0930,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,False,False,017,07
JK287457,06/09/2026 12:00:00 AM,007XX N CENTRAL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,015,14
JK287971,06/09/2026 12:00:00 AM,074XX S VERNON AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,003,08A
JK292056,06/09/2026 12:00:00 AM,081XX S PEORIA ST,501A,OTHER OFFENSE,ANIMAL ABUSE / NEGLECT,ABANDONED BUILDING,False,False,006,26
JK287508,06/09/2026 12:00:00 AM,003XX E 70TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,003,08B
JK289107,06/09/2026 12:00:00 AM,076XX S STONY ISLAND AVE,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,False,False,004,06
JK288541,06/09/2026 12:00:00 AM,052XX N PARKSIDE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,016,14
JK296007,06/09/2026 12:00:00 AM,007XX S LOOMIS ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,False,False,012,11
JK287976,06/09/2026 12:00:00 AM,050XX S WOODLAWN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,002,14
JK288774,06/09/2026 12:00:00 AM,020XX S CLARK ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,False,001,08A
JK290549,06/09/2026 12:00:00 AM,029XX S ARCHER AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,False,False,009,17
JK287734,06/09/2026 12:00:00 AM,080XX S WENTWORTH AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,006,05
JK287705,06/09/2026 12:00:00 AM,051XX W MAYPOLE AVE,0460,BATTERY,SIMPLE,STREET,True,False,015,08B
JK287605,06/09/2026 12:00:00 AM,001XX N WACKER DR,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,001,06
JK287435,06/08/2026 11:59:00 PM,065XX S DR MARTIN LUTHER KING JR DR,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,CHA PARKING LOT / GROUNDS,False,False,003,26
JK287427,06/08/2026 11:51:00 PM,037XX N CAMPBELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,019,07
